BADM 322_ Group Project Survey (Responses) - Form Responses 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2024 17:33:08,"Yep, love it!",A couple times a month,None for me,$5.01 to $7,Somewhat important,Yes,Slightly agree,Neutral,Slightly agree,Slightly agree,Neutral,"Instagram, TikTok","Cool deals or freebies., They align with my values (e.g., environment, social issues).",Competitions or giveaways,Very Good,Good,Good,Very Good,Very Likely,Very Likely,"Definitely, that's important to me.",Very likely,"Social Media, Local shops","First bottle free, Buy one, get one free, Discount on your first purchase, Free kombucha tasting event, Coupon for future purchase with first trial, Student discount",Slightly likely,"Local coffee shops and cafés, Health food stores, Grocery stores, At campus events or pop-up shops, Gyms or fitness centers, Bars or restaurants",Totally!,"Yes, I drive it often",Yes,18-22,Female,Senior,College of Liberal Arts & Sciences (LAS)
4/9/2024 13:20:24,"No, but I'm open to trying it",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,Yes,Slightly agree,Slightly agree,Neutral,Slightly agree,Slightly agree,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues)., Friends follow them.",Competitions or giveaways,Very Good,Very Good,Very Good,Very Good,Neither Likely or Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates, Campus events, Local shops",First bottle free,Neutral,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores","Maybe, if it catches my eye.",No,No,18-22,Female,Freshman,College of Liberal Arts & Sciences (LAS)
4/9/2024 13:21:21,"No, and I'm not interested.",I don't drink kombucha,"Gluten-free, Vegan",$5.01 to $7,Not at all important,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Instagram, TikTok, Snapchat","Cool deals or freebies., They align with my values (e.g., environment, social issues)., Friends follow them., An influencer I follow promotes the brand.",Memes or funny content,Fair,Fair,Fair,Fair,Very Unlikely,Very Unlikely,Not really sure.,Neutral,"Social Media, Friends/classmates, Campus events","First bottle free, Buy one, get one free",Slightly likely,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores","Maybe, if it catches my eye.",No,No,18-22,Female,Freshman,College of Liberal Arts & Sciences (LAS)
4/9/2024 13:24:31,"No, but I'm open to trying it",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,Yes,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Neutral,"Instagram, TikTok, Snapchat, YouTube","Fun and engaging posts., Friends follow them.",Memes or funny content,Good,Fair,Good,Fair,Neither Likely or Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates","First bottle free, Discount on your first purchase, Free kombucha tasting event, Student discount",Neutral,"Health food stores, Convenience stores near campus, At campus events or pop-up shops","Maybe, if it catches my eye.",No,No,18-22,Female,Freshman,Division of General Studies
4/9/2024 13:25:14,"No, but I'm open to trying it",I don't drink kombucha,None for me,$5.01 to $7,Not at all important,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts.",Memes or funny content,Very Good,Good,Very Good,Very Good,Neither Likely or Unlikely,Likely,Not a big factor for me.,Slightly likely,Social Media,"Buy one, get one free",Neutral,"Campus dining halls or cafeterias, Local coffee shops and cafés, Convenience stores near campus, Grocery stores","Maybe, if it catches my eye.",No,No,18-22,Female,Freshman,College of Liberal Arts & Sciences (LAS)
4/9/2024 13:26:52,"Tried it, not my thing.",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,Yes,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues)., An influencer I follow promotes the brand.",Competitions or giveaways,Good,Good,Good,Fair,Unlikely,Neither Likely or Unlikely,"Definitely, that's important to me.",Slightly likely,"Social Media, Friends/classmates","First bottle free, Free kombucha tasting event",Neutral,"Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores, At campus events or pop-up shops, Gyms or fitness centers","Maybe, if it catches my eye.",No,No,18-22,Female,Sophomore,College of Liberal Arts & Sciences (LAS)
4/9/2024 13:32:14,"Tried it, not my thing.",A few times a year,None for me,$3 to $5,Somewhat important,Yes,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Neutral,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues)., Friends follow them.",Memes or funny content,Good,Excellent,Very Good,Very Good,Neither Likely or Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates, Campus events, Local shops, Flyers and handouts","First bottle free, Buy one, get one free, Discount on your first purchase, Student discount",Slightly likely,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores, Grocery stores, At campus events or pop-up shops","Maybe, if it catches my eye.",No,No,18-22,Female,Freshman,"College of Agricultural, Consumer & Environmental Sciences (ACES)"
4/10/2024 19:12:00,"Yep, love it!",A couple times a month,None for me,$5.01 to $7,Somewhat important,Yes,Strongly agree,Neutral,Slightly agree,Slightly agree,Neutral,"Instagram, Snapchat, YouTube","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues).",Memes or funny content,Good,Good,Good,Good,Likely,Likely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Local shops","First bottle free, Buy one, get one free, Discount on your first purchase, Free kombucha tasting event, Coupon for future purchase with first trial, Student discount",Neutral,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores, At campus events or pop-up shops",Totally!,"Yes, I drive it often",No,18-22,Male,Sophomore,Grainger College of Engineering (GCOE)
4/10/2024 19:16:12,"No, but I'm open to trying it",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,Yes,Strongly agree,Slightly agree,Strongly agree,Neutral,Neutral,"Instagram, Snapchat, YouTube","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues).",Memes or funny content,Fair,Good,Good,Good,Neither Likely or Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates, Campus events","First bottle free, Buy one, get one free, Student discount",Slightly likely,"Campus dining halls or cafeterias, Local coffee shops and cafés, Convenience stores near campus, Grocery stores, At campus events or pop-up shops, Bars or restaurants",Totally!,No,No,18-22,Female,Sophomore,Gies College of Business (BUS)
4/10/2024 19:29:59,"Yep, love it!",A few times a year,None for me,$5.01 to $7,Somewhat important,Yes,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues)., Friends follow them., An influencer I follow promotes the brand.",Memes or funny content,Fair,Good,Good,Fair,Neither Likely or Unlikely,Neither Likely or Unlikely,"Definitely, that's important to me.",Very likely,"Social Media, Friends/classmates",First bottle free,Slightly likely,"Local coffee shops and cafés, Grocery stores",Totally!,No,No,18-22,Female,Sophomore,Grainger College of Engineering (GCOE)
4/10/2024 19:31:16,"No, and I'm not interested.",I don't drink kombucha,None for me,$5.01 to $7,Extremely important,No,Strongly agree,Neutral,Slightly agree,Slightly disagree,Slightly disagree,"Instagram, Snapchat, Twitter","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues).",Memes or funny content,Good,Good,Fair,Very Good,Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Slightly unlikely,"Social Media, Friends/classmates, Campus events, Local shops","First bottle free, Free kombucha tasting event",Neutral,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores, At campus events or pop-up shops, Bars or restaurants","Maybe, if it catches my eye.",No,No,18-22,Male,Freshman,Gies College of Business (BUS)
4/10/2024 20:32:31,"Yep, love it!",A couple times a month,None for me,$5.01 to $7,Somewhat important,Yes,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,"Instagram, TikTok, Snapchat","Fun and engaging posts., They align with my values (e.g., environment, social issues)., Friends follow them.",Memes or funny content,Good,Very Good,Good,Excellent,Unlikely,Unlikely,"Probably, sounds like a good thing.",Very likely,"Social Media, Friends/classmates, Campus events, Local shops, Flyers and handouts","First bottle free, Buy one, get one free, Discount on your first purchase, Free kombucha tasting event, Coupon for future purchase with first trial, Student discount",Slightly likely,"Local coffee shops and cafés, Convenience stores near campus, Grocery stores, At campus events or pop-up shops",Totally!,No,No,18-22,Female,Freshman,"College of Agricultural, Consumer & Environmental Sciences (ACES)"
4/10/2024 23:42:26,"No, but I'm open to trying it",A few times a year,None for me,$5.01 to $7,Extremely important,Yes,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,"TikTok, Snapchat","Fun and engaging posts., They align with my values (e.g., environment, social issues).",Interesting facts or tips,Fair,Fair,Fair,Good,Unlikely,Unlikely,"Definitely, that's important to me.",Very likely,"Social Media, Friends/classmates, Local shops","First bottle free, Discount on your first purchase, Free kombucha tasting event, Student discount",Neutral,"Local coffee shops and cafés, Convenience stores near campus, At campus events or pop-up shops, Gyms or fitness centers",Totally!,No,No,18-22,Female,Sophomore,Gies College of Business (BUS)
4/11/2024 15:39:30,"Yep, love it!",A couple times a month,None for me,$5.01 to $7,Extremely important,Yes,Strongly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,YouTube,"Cool deals or freebies., They align with my values (e.g., environment, social issues).",Memes or funny content,Good,Very Good,Good,Excellent,Likely,Likely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates, Local shops","Discount on your first purchase, Free kombucha tasting event",Slightly likely,"Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores","Maybe, if it catches my eye.",No,No,18-22,Female,Junior,Gies College of Business (BUS)
4/11/2024 15:40:00,"Tried it, not my thing.",A few times a year,Organic Only,$5.01 to $7,Extremely important,Yes,Slightly agree,Slightly agree,Neutral,Neutral,Slightly disagree,"Instagram, TikTok, Snapchat, Twitter, Facebook, BeReal, YouTube","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues)., Friends follow them., An influencer I follow promotes the brand.",Posts on sustainability or social causes,Good,Good,Good,Good,Likely,Likely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Campus events, Local shops","Buy one, get one free, Discount on your first purchase, Coupon for future purchase with first trial",Slightly likely,"Health food stores, Grocery stores, Online for home delivery, At campus events or pop-up shops","Maybe, if it catches my eye.",No,No,18-22,Female,Junior,Gies College of Business (BUS)
4/11/2024 15:45:26,"No, and I'm not interested.",I don't drink kombucha,None for me,$3 to $5,Somewhat important,No,Strongly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,"Instagram, TikTok, Twitter","Fun and engaging posts., An influencer I follow promotes the brand.",Posts on sustainability or social causes,Good,Good,Good,Good,Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates, Local shops","First bottle free, Buy one, get one free, Free kombucha tasting event, Student discount",Slightly likely,"Local coffee shops and cafés, Health food stores, Convenience stores near campus","Maybe, if it catches my eye.",No,No,18-22,Male,Junior,Gies College of Business (BUS)
4/11/2024 15:48:33,"No, but I'm open to trying it",I don't drink kombucha,None for me,$3 to $5,Somewhat important,Yes,Strongly agree,Neutral,Slightly agree,Slightly disagree,Strongly disagree,"Instagram, TikTok, Snapchat, YouTube","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues)., Friends follow them., An influencer I follow promotes the brand.",Memes or funny content,Fair,Good,Very Good,Poor,Very Unlikely,Very Unlikely,"Probably, sounds like a good thing.",Slightly unlikely,"Social Media, Friends/classmates","First bottle free, Free kombucha tasting event",Neutral,"Local coffee shops and cafés, Bars or restaurants","Maybe, if it catches my eye.",No,No,18-22,Male,Junior,Gies College of Business (BUS)
4/11/2024 15:53:58,"No, but I'm open to trying it",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,Yes,Slightly agree,Strongly agree,Neutral,Slightly agree,Neutral,"Instagram, TikTok, Snapchat","Fun and engaging posts., Friends follow them., An influencer I follow promotes the brand.",Memes or funny content,Good,Fair,Very Good,Very Good,Neither Likely or Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates, Local shops","First bottle free, Free kombucha tasting event",Slightly likely,"Local coffee shops and cafés, Health food stores","Maybe, if it catches my eye.","Yes, I use it occasionally",No,18-22,Female,Junior,Gies College of Business (BUS)
4/11/2024 15:56:09,"Yep, love it!",A few times a year,None for me,$3 to $5,Not at all important,No,Neutral,Neutral,Neutral,Neutral,Neutral,"Twitter, Facebook",Friends follow them.,Memes or funny content,Good,Good,Good,Good,Unlikely,Unlikely,Not really sure.,Neutral,Social Media,"Buy one, get one free",Very unlikely,Grocery stores,"Nah, I'm good.",No,No,18-22,Prefer not to say,Junior,Gies College of Business (BUS)
4/11/2024 16:01:39,"No, but I'm open to trying it",I don't drink kombucha,None for me,$7.01 to $9,Somewhat important,Yes,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,"Instagram, Snapchat","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues).",Memes or funny content,Very Good,Very Good,Very Good,Very Good,Likely,Likely,"Probably, sounds like a good thing.",Very likely,"Social Media, Friends/classmates","Buy one, get one free, Free kombucha tasting event",Slightly likely,"Campus dining halls or cafeterias, Convenience stores near campus, At campus events or pop-up shops, Gyms or fitness centers","Maybe, if it catches my eye.",No,Yes,18-22,Female,Senior,Gies College of Business (BUS)
4/11/2024 16:02:01,"No, but I'm open to trying it",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,No,Slightly agree,Slightly agree,Strongly agree,Neutral,Neutral,"Instagram, TikTok, Snapchat, BeReal","Cool deals or freebies., Fun and engaging posts., An influencer I follow promotes the brand.",Competitions or giveaways,Fair,Good,Good,Fair,Unlikely,Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates","First bottle free, Buy one, get one free, Free kombucha tasting event, Student discount",Slightly likely,"Local coffee shops and cafés, Convenience stores near campus, Grocery stores, At campus events or pop-up shops, Gyms or fitness centers","Maybe, if it catches my eye.",No,No,18-22,Female,Junior,Gies College of Business (BUS)
4/11/2024 16:02:14,"No, but I'm open to trying it",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,Yes,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,"Instagram, TikTok, Snapchat, Twitter, BeReal","Fun and engaging posts., They align with my values (e.g., environment, social issues)., Friends follow them.",Memes or funny content,Fair,Fair,Very Good,Good,Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Very likely,"Social Media, Friends/classmates, Campus events, Local shops","First bottle free, Free kombucha tasting event",Slightly likely,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores, At campus events or pop-up shops",Totally!,No,No,18-22,Male,Freshman,College of Liberal Arts & Sciences (LAS)
4/11/2024 16:04:05,"Yep, love it!",A couple times a month,None for me,$5.01 to $7,Somewhat important,Yes,Slightly agree,Neutral,Neutral,Strongly agree,Slightly agree,"Instagram, TikTok, Snapchat, Twitter","Cool deals or freebies., Fun and engaging posts., An influencer I follow promotes the brand.",Memes or funny content,Good,Good,Very Good,Very Good,Neither Likely or Unlikely,Likely,"Definitely, that's important to me.",Very likely,"Social Media, Friends/classmates","First bottle free, Discount on your first purchase, Free kombucha tasting event",Slightly likely,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores, At campus events or pop-up shops, Gyms or fitness centers",Totally!,No,No,18-22,Female,Junior,College of Applied Health Sciences (AHS)
4/11/2024 16:04:10,"No, and I'm not interested.",I don't drink kombucha,None for me,$3 to $5,Not at all important,Yes,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,"Instagram, TikTok, Snapchat, Twitter, Facebook",Fun and engaging posts.,Memes or funny content,Good,Good,Good,Good,Very Unlikely,Very Unlikely,Not a big factor for me.,Very likely,Social Media,First bottle free,Slightly likely,"Local coffee shops and cafés, Convenience stores near campus","Maybe, if it catches my eye.","Yes, I drive it often",No,18-22,Female,Junior,Gies College of Business (BUS)
4/11/2024 16:05:04,"No, and I'm not interested.",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,Yes,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,"Instagram, TikTok, Snapchat, Twitter","Cool deals or freebies., Fun and engaging posts.",Competitions or giveaways,Good,Good,Very Good,Very Good,Very Unlikely,Unlikely,Not really sure.,Neutral,"Social Media, Friends/classmates, Campus events","First bottle free, Free kombucha tasting event, Student discount",Slightly likely,"Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores","Maybe, if it catches my eye.",No,No,18-22,Male,Freshman,Gies College of Business (BUS)
4/11/2024 16:05:09,"Tried it, not my thing.",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,Yes,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues)., Friends follow them., An influencer I follow promotes the brand.",Memes or funny content,Good,Good,Good,Good,Neither Likely or Unlikely,Neither Likely or Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates, Campus events, Local shops","First bottle free, Buy one, get one free, Free kombucha tasting event",Neutral,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores, Convenience stores near campus","Maybe, if it catches my eye.",No,No,18-22,Female,Sophomore,Gies College of Business (BUS)
4/11/2024 16:07:57,"No, but I'm open to trying it",I don't drink kombucha,None for me,$3 to $5,Extremely important,Yes,Strongly agree,Strongly agree,Strongly agree,Neutral,Slightly agree,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts., An influencer I follow promotes the brand.",Memes or funny content,Good,Good,Good,Fair,Unlikely,Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates, Local shops","First bottle free, Student discount",Slightly likely,"Campus dining halls or cafeterias, Local coffee shops and cafés, Convenience stores near campus, Grocery stores, At campus events or pop-up shops, Gyms or fitness centers",Totally!,No,No,18-22,Female,Freshman,College of Liberal Arts & Sciences (LAS)
4/11/2024 16:08:02,"No, but I'm open to trying it",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,Yes,Neutral,Slightly agree,Slightly agree,Slightly agree,Slightly agree,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts.",Memes or funny content,Good,Good,Fair,Fair,Neither Likely or Unlikely,Neither Likely or Unlikely,"Definitely, that's important to me.",Slightly likely,Local shops,"First bottle free, Buy one, get one free",Very likely,Local coffee shops and cafés,Totally!,No,No,18-22,Female,Sophomore,Gies College of Business (BUS)
4/11/2024 16:08:21,"Yep, love it!",A few times a year,None for me,$5.01 to $7,Not at all important,Yes,Strongly agree,Slightly agree,Slightly agree,Neutral,Slightly disagree,"Instagram, Snapchat, Twitter, BeReal","Cool deals or freebies., They align with my values (e.g., environment, social issues)., An influencer I follow promotes the brand.",Competitions or giveaways,Good,Very Good,Excellent,Very Good,Unlikely,Likely,"Probably, sounds like a good thing.",Slightly likely,"Friends/classmates, Campus events, Local shops, Flyers and handouts","First bottle free, Buy one, get one free, Discount on your first purchase, Student discount",Slightly likely,"Local coffee shops and cafés, Convenience stores near campus, At campus events or pop-up shops","Maybe, if it catches my eye.",No,Yes,18-22,Female,Sophomore,Gies College of Business (BUS)
4/11/2024 16:09:16,"No, but I'm open to trying it",I don't drink kombucha,None for me,$3 to $5,Somewhat important,Yes,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,"Instagram, TikTok, Snapchat","Cool deals or freebies., They align with my values (e.g., environment, social issues).",Competitions or giveaways,Fair,Excellent,Excellent,Excellent,Neither Likely or Unlikely,Likely,"Definitely, that's important to me.",Slightly likely,"Social Media, Friends/classmates, Campus events, Local shops","First bottle free, Buy one, get one free, Discount on your first purchase",Neutral,"Campus dining halls or cafeterias, Local coffee shops and cafés, At campus events or pop-up shops, Gyms or fitness centers",Totally!,"Yes, I use it occasionally",No,18-22,Female,Sophomore,College of Liberal Arts & Sciences (LAS)
4/11/2024 16:10:40,"Yep, love it!",1-2 times a week,None for me,$3 to $5,Not at all important,Yes,Strongly agree,Slightly agree,Slightly agree,Neutral,Neutral,"Instagram, TikTok, Snapchat","Cool deals or freebies., Fun and engaging posts., They align with my values (e.g., environment, social issues)., An influencer I follow promotes the brand.",Competitions or giveaways,Very Good,Good,Fair,Good,Neither Likely or Unlikely,Likely,"Probably, sounds like a good thing.",Very likely,"Social Media, Friends/classmates","First bottle free, Free kombucha tasting event, Student discount",Neutral,"Local coffee shops and cafés, Convenience stores near campus, Grocery stores, At campus events or pop-up shops, Gyms or fitness centers","Maybe, if it catches my eye.","Yes, I use it occasionally",Yes,18-22,Female,Sophomore,College of Fine & Applied Arts (FAA)
4/11/2024 16:12:00,"No, and I'm not interested.",I don't drink kombucha,None for me,$5.01 to $7,Somewhat important,No,Strongly agree,Neutral,Slightly agree,Slightly agree,Slightly disagree,"Instagram, TikTok, Snapchat, BeReal","Fun and engaging posts., They align with my values (e.g., environment, social issues)., An influencer I follow promotes the brand.",Interesting facts or tips,Good,Very Good,Very Good,Very Good,Unlikely,Unlikely,Not really sure.,Very unlikely,"Social Media, Friends/classmates","First bottle free, Free kombucha tasting event, Student discount",Slightly unlikely,"Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores, At campus events or pop-up shops","Maybe, if it catches my eye.","Yes, I use it occasionally",No,18-22,Female,Sophomore,College of Liberal Arts & Sciences (LAS)
4/11/2024 16:16:42,"No, and I'm not interested.",I don't drink kombucha,None for me,$3 to $5,Extremely important,Yes,Strongly agree,Neutral,Strongly agree,Slightly agree,Strongly agree,"Instagram, TikTok, Snapchat, YouTube",Cool deals or freebies.,Competitions or giveaways,Good,Good,Fair,Fair,Unlikely,Unlikely,"Probably, sounds like a good thing.",Slightly likely,"Social Media, Friends/classmates, Campus events, Flyers and handouts","First bottle free, Free kombucha tasting event, Coupon for future purchase with first trial, Student discount",Slightly likely,"Campus dining halls or cafeterias, Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores, At campus events or pop-up shops, Gyms or fitness centers, Bars or restaurants","Maybe, if it catches my eye.",No,No,18-22,Female,Freshman,Gies College of Business (BUS)
4/11/2024 16:22:24,"No, but I'm open to trying it",I don't drink kombucha,None for me,$3 to $5,Not at all important,No,Strongly agree,Neutral,Strongly agree,Slightly agree,Slightly disagree,"Instagram, TikTok, Pinterest","They align with my values (e.g., environment, social issues)., Friends follow them.",Competitions or giveaways,Very Good,Fair,Good,Fair,Unlikely,Unlikely,"Definitely, that's important to me.",Very unlikely,"Social Media, Friends/classmates","Free kombucha tasting event, Student discount",Neutral,"Local coffee shops and cafés, Health food stores, Convenience stores near campus, Grocery stores, At campus events or pop-up shops","Maybe, if it catches my eye.",No,No,18-22,Female,Senior,College of Media
