,College Name,State,Public_or_Private,Apps received,Apps accepted,New students,Percent from top 10%,Percent from top 25%,FT undergrads,PT undergrads,in-state tuition,out-of-state tuition,room,board,fees,book costs,personal costs,PhD Faculty,faculty/student ratio,Graduation rate
0,Alaska Pacific University,AK,2,193.0,146.0,55.0,16.0,44.0,249.0,869.0,7560.0,7560.0,1620.0,2500.0,130.0,800.0,1500.0,76.0,11.9,15.0
2,University of Alaska Southeast,AK,1,146.0,117.0,89.0,4.0,24.0,492.0,1849.0,1742.0,5226.0,2514.0,2250.0,34.0,500.0,1162.0,39.0,9.5,39.0
9,Birmingham-Southern College,AL,2,805.0,588.0,287.0,67.0,88.0,1376.0,207.0,11660.0,11660.0,2050.0,2430.0,120.0,400.0,900.0,74.0,14.0,72.0
11,Huntingdon College,AL,2,608.0,520.0,127.0,26.0,47.0,538.0,126.0,8080.0,8080.0,1380.0,2540.0,100.0,500.0,1100.0,63.0,11.4,44.0
21,Talladega College,AL,2,4414.0,1500.0,335.0,30.0,60.0,908.0,119.0,5666.0,5666.0,1424.0,1540.0,418.0,1000.0,1400.0,56.0,15.5,46.0
25,University of Alabama at Birmingham,AL,1,1797.0,1260.0,938.0,24.0,35.0,6960.0,4698.0,2220.0,4440.0,1935.0,3240.0,291.0,750.0,2200.0,96.0,6.7,33.0
31,Arkansas College (Lyon College),AR,2,708.0,334.0,166.0,46.0,74.0,530.0,182.0,8644.0,8644.0,2382.0,1540.0,120.0,500.0,800.0,79.0,12.6,54.0
37,Hendrix College,AR,2,823.0,721.0,274.0,52.0,87.0,954.0,6.0,8800.0,8800.0,1935.0,1260.0,325.0,500.0,1200.0,82.0,13.1,63.0
38,John Brown University,AR,2,605.0,405.0,284.0,24.0,53.0,961.0,99.0,6398.0,6398.0,1450.0,2222.0,148.0,400.0,1350.0,68.0,13.3,75.0
45,Harding University,AR,2,1721.0,1068.0,806.0,35.0,75.0,3128.0,213.0,5504.0,5504.0,1650.0,1878.0,1016.0,700.0,910.0,71.0,17.7,73.0
48,Northern Arizona University,AZ,1,5891.0,4931.0,1973.0,23.0,48.0,11249.0,2682.0,1828.0,6746.0,1890.0,1838.0,66.0,620.0,2342.0,78.0,21.7,41.0
49,University of Arizona,AZ,1,14079.0,12238.0,4529.0,29.0,57.0,21664.0,4894.0,1828.0,7434.0,2186.0,2030.0,66.0,620.0,2550.0,91.0,19.6,49.0
62,California Polytechnic-San Luis,CA,1,7811.0,3817.0,1650.0,47.0,73.0,12911.0,1404.0,2033.0,7380.0,2335.0,2542.0,20.0,612.0,2091.0,72.0,19.8,59.0
76,Claremont McKenna College,CA,2,1860.0,767.0,227.0,71.0,93.0,887.0,1.0,17000.0,17000.0,3160.0,2850.0,140.0,500.0,850.0,99.0,9.6,87.0
77,Harvey Mudd College,CA,2,1377.0,572.0,178.0,95.0,100.0,654.0,5.0,17230.0,17230.0,3320.0,3370.0,465.0,700.0,900.0,100.0,8.2,100.0
78,Pitzer College,CA,2,1133.0,630.0,220.0,37.0,73.0,750.0,30.0,17688.0,17688.0,3192.0,2708.0,1548.0,650.0,850.0,100.0,10.4,73.0
80,Scripps College,CA,2,855.0,632.0,139.0,60.0,83.0,569.0,7.0,17238.0,17238.0,3500.0,3850.0,112.0,600.0,800.0,95.0,8.2,73.0
89,Occidental College,CA,2,2324.0,1319.0,370.0,52.0,81.0,1686.0,35.0,16560.0,16560.0,2980.0,2160.0,334.0,558.0,1152.0,91.0,10.5,79.0
91,Fresno Pacific College,CA,2,346.0,274.0,146.0,51.0,87.0,704.0,63.0,9900.0,9900.0,1500.0,2170.0,174.0,630.0,1818.0,59.0,10.5,54.0
94,Pepperdine University,CA,2,3821.0,2037.0,680.0,86.0,96.0,2488.0,625.0,18200.0,18200.0,3750.0,3020.0,70.0,500.0,700.0,95.0,11.6,66.0
95,Southern California College,CA,2,385.0,340.0,193.0,18.0,38.0,784.0,127.0,9520.0,9520.0,1980.0,2144.0,340.0,630.0,1818.0,63.0,18.6,43.0
96,St. Mary's College of California,CA,2,2643.0,1611.0,465.0,36.0,80.0,2615.0,248.0,13332.0,13332.0,3177.0,3177.0,120.0,630.0,1584.0,88.0,16.1,78.0
107,University of San Francisco,CA,2,2306.0,1721.0,538.0,23.0,48.0,4309.0,549.0,13226.0,13226.0,3846.0,2606.0,100.0,750.0,2450.0,86.0,13.6,62.0
109,University of Southern California,CA,2,12229.0,8498.0,2477.0,45.0,71.0,13259.0,1429.0,17230.0,17230.0,3566.0,2916.0,330.0,600.0,2210.0,90.0,11.4,68.0
111,Westmont College,CA,1,950.0,713.0,351.0,42.0,72.0,1276.0,9.0,14320.0,14320.0,3080.0,2224.0,866.0,490.0,1410.0,77.0,14.9,87.0
119,Loyola Marymount University,CA,2,3768.0,2662.0,753.0,42.0,64.0,3558.0,436.0,13592.0,13592.0,3276.0,2640.0,176.0,545.0,1328.0,84.0,14.2,84.0
120,Concordia University,CA,2,688.0,497.0,144.0,30.0,75.0,641.0,101.0,10800.0,10800.0,2520.0,1920.0,690.0,570.0,1515.0,55.0,13.1,55.0
121,Adams State College,CO,1,1508.0,1259.0,569.0,16.0,44.0,1922.0,232.0,1386.0,1672.0,1820.0,1910.0,374.0,520.0,2200.0,63.0,27.9,60.0
122,Colorado College,CO,2,3207.0,1577.0,490.0,56.0,87.0,1892.0,7.0,17142.0,17142.0,2114.0,2076.0,120.0,450.0,1200.0,85.0,11.3,84.0
125,Fort Lewis College,CO,1,3440.0,2823.0,1123.0,16.0,35.0,3793.0,486.0,1450.0,6198.0,1820.0,1500.0,327.0,500.0,2500.0,89.0,19.1,46.0
126,Mesa State College,CO,1,1584.0,1456.0,891.0,6.0,18.0,3471.0,911.0,1434.0,5016.0,1782.0,2016.0,380.0,540.0,2256.0,48.0,28.8,59.0
129,University of Southern Colorado,CO,1,1401.0,1239.0,605.0,10.0,34.0,3716.0,675.0,1644.0,7100.0,1756.0,2624.0,324.0,540.0,2948.0,63.0,19.4,36.0
133,Western State College of Colorado,CO,1,2702.0,1623.0,604.0,7.0,24.0,2315.0,146.0,1819.0,5918.0,1936.0,1819.0,507.0,500.0,2050.0,76.0,19.4,52.0
138,Central Connecticut State University,CT,1,4158.0,2532.0,902.0,6.0,24.0,6394.0,3881.0,1842.0,5962.0,2384.0,2060.0,1298.0,500.0,985.0,69.0,16.7,49.0
139,Connecticut College,CT,2,3035.0,1546.0,438.0,42.0,93.0,1630.0,232.0,18740.0,18740.0,2935.0,3365.0,210.0,600.0,500.0,86.0,10.7,91.0
145,Sacred Heart University,CT,2,2307.0,1896.0,509.0,19.0,51.0,1707.0,1889.0,11070.0,11070.0,4090.0,1690.0,320.0,400.0,600.0,71.0,14.8,82.0
147,Saint Joseph College,CT,2,292.0,241.0,96.0,20.0,52.0,543.0,712.0,12200.0,12200.0,2200.0,2400.0,200.0,650.0,950.0,87.0,11.2,76.0
148,Trinity College,CT,2,3058.0,1798.0,478.0,46.0,84.0,1737.0,244.0,18810.0,18810.0,3540.0,2150.0,780.0,500.0,680.0,91.0,10.4,91.0
150,University of Bridgeport,CT,2,598.0,441.0,153.0,16.0,36.0,527.0,312.0,12500.0,12500.0,3700.0,3110.0,624.0,500.0,500.0,76.0,7.9,51.0
151,University of Hartford,CT,2,5081.0,4040.0,1194.0,11.0,26.0,3768.0,1415.0,14220.0,14220.0,2300.0,3700.0,690.0,500.0,1440.0,61.0,10.7,66.0
152,Wesleyan University,CT,2,4772.0,1973.0,712.0,60.0,86.0,2714.0,27.0,19130.0,19130.0,3290.0,2310.0,660.0,1400.0,1400.0,90.0,12.1,92.0
153,Eastern Connecticut State University,CT,1,2172.0,1493.0,564.0,14.0,50.0,2766.0,1531.0,1842.0,5962.0,2436.0,1880.0,1513.0,650.0,500.0,71.0,16.9,50.0
155,University of Connecticut at Storrs,CT,1,9735.0,7187.0,2064.0,23.0,63.0,12478.0,1660.0,3824.0,11656.0,2552.0,2520.0,888.0,700.0,2300.0,89.0,16.0,71.0
157,Catholic University of America,DC,2,1754.0,1465.0,505.0,24.0,49.0,2159.0,211.0,13712.0,13712.0,3622.0,2786.0,460.0,526.0,1100.0,90.0,9.3,75.0
159,George Washington University,DC,2,7875.0,5062.0,1492.0,38.0,71.0,5471.0,1470.0,17450.0,17450.0,3998.0,2330.0,720.0,700.0,950.0,92.0,7.6,72.0
160,Georgetown University,DC,2,11115.0,2881.0,1390.0,71.0,93.0,5881.0,406.0,18300.0,18300.0,2590.0,4541.0,156.0,670.0,1700.0,91.0,7.2,95.0
163,Trinity College,DC,2,247.0,189.0,100.0,19.0,49.0,309.0,639.0,11412.0,11412.0,2900.0,3530.0,150.0,500.0,900.0,89.0,8.3,96.0
167,University of Delaware,DE,2,14446.0,10516.0,3252.0,22.0,57.0,14130.0,4522.0,3690.0,10220.0,2280.0,1950.0,410.0,530.0,1300.0,82.0,18.3,75.0
168,Wesley College,DE,2,980.0,807.0,350.0,10.0,25.0,872.0,448.0,9890.0,9890.0,2450.0,2224.0,405.0,500.0,1350.0,52.0,14.4,84.0
171,Bethune Cookman College,FL,2,1646.0,1150.0,542.0,12.0,30.0,2128.0,82.0,5188.0,5188.0,1541.0,1855.0,427.0,650.0,2500.0,48.0,13.8,58.0
173,Florida Institute of Technology,FL,2,1947.0,1580.0,523.0,39.0,74.0,1863.0,233.0,13900.0,13900.0,1740.0,2400.0,400.0,750.0,1500.0,90.0,10.6,57.0
175,Embry Riddle Aeronautical University,FL,2,3151.0,2584.0,958.0,14.0,40.0,4772.0,856.0,7800.0,7800.0,2050.0,1700.0,80.0,570.0,3020.0,37.0,16.5,44.0
180,Florida Southern College,FL,2,1381.0,1040.0,374.0,20.0,44.0,1506.0,970.0,8025.0,8025.0,2100.0,2765.0,605.0,400.0,650.0,65.0,17.4,68.0
185,Rollins College,FL,2,1777.0,1151.0,382.0,31.0,55.0,1668.0,1052.0,16425.0,16425.0,2830.0,2390.0,470.0,955.0,750.0,81.0,13.3,90.0
187,Stetson University,FL,2,1557.0,1227.0,489.0,37.0,69.0,1964.0,81.0,12315.0,12315.0,2165.0,2400.0,555.0,600.0,1365.0,85.0,12.5,73.0
189,University of Miami,FL,2,7122.0,5386.0,1643.0,42.0,69.0,7760.0,876.0,16500.0,16500.0,3810.0,2716.0,180.0,630.0,1985.0,82.0,5.9,59.0
193,University of Central Florida,FL,1,6986.0,2959.0,1918.0,25.0,60.0,12330.0,7152.0,1716.0,6618.0,2410.0,1824.0,95.0,700.0,1600.0,80.0,22.2,46.0
207,Brewton-Parker College,GA,2,1436.0,1228.0,1202.0,10.0,26.0,1320.0,822.0,4371.0,4371.0,1320.0,1050.0,130.0,500.0,2000.0,62.0,12.6,18.0
209,Emory University,GA,2,8506.0,4168.0,1236.0,76.0,97.0,5544.0,192.0,17600.0,17600.0,3600.0,2400.0,230.0,600.0,870.0,97.0,5.0,96.0
219,Morehouse College,GA,2,3708.0,1678.0,722.0,41.0,66.0,2852.0,153.0,7050.0,7050.0,3140.0,2350.0,1420.0,250.0,600.0,71.0,17.8,83.0
227,Spelman College,GA,2,3713.0,1237.0,443.0,47.0,83.0,1971.0,107.0,7000.0,7000.0,2565.0,3000.0,1222.0,660.0,2400.0,73.0,12.5,65.0
229,University of Georgia,GA,1,11220.0,7871.0,3320.0,43.0,79.0,19553.0,2748.0,1899.0,5697.0,1770.0,1830.0,453.0,525.0,1755.0,88.0,14.7,63.0
234,Covenant College,GA,2,407.0,317.0,181.0,21.0,48.0,468.0,31.0,9700.0,9700.0,1980.0,1764.0,150.0,470.0,1120.0,73.0,19.0,56.0
235,Savannah Coll. of Art and Design,GA,2,1109.0,688.0,386.0,20.0,65.0,1897.0,208.0,8325.0,8325.0,3050.0,1950.0,450.0,1200.0,1600.0,14.0,16.1,55.0
238,University of Hawaii at Manoa,HI,1,3580.0,2603.0,1627.0,36.0,69.0,11028.0,2411.0,1460.0,4460.0,1808.0,1230.0,97.0,687.0,1281.0,85.0,11.8,54.0
243,Central College,IA,2,1283.0,1113.0,401.0,31.0,65.0,1355.0,40.0,10938.0,10938.0,1638.0,2022.0,141.0,650.0,600.0,76.0,13.5,67.0
244,Clarke College,IA,2,460.0,340.0,167.0,14.0,45.0,604.0,350.0,10740.0,10740.0,1838.0,1838.0,225.0,350.0,900.0,67.0,11.0,74.0
245,Coe College,IA,2,1006.0,742.0,275.0,29.0,60.0,1127.0,205.0,13925.0,13925.0,2400.0,1990.0,125.0,500.0,2200.0,73.0,12.7,67.0
246,Cornell College,IA,2,1538.0,1329.0,383.0,33.0,68.0,1140.0,10.0,15248.0,15248.0,1978.0,2345.0,125.0,550.0,800.0,71.0,12.2,64.0
247,Dordt College,IA,2,604.0,562.0,328.0,25.0,50.0,1048.0,56.0,9800.0,9800.0,1200.0,1450.0,60.0,450.0,2800.0,61.0,12.5,87.0
249,Graceland College,IA,2,555.0,414.0,242.0,14.0,41.0,996.0,2281.0,9100.0,9100.0,1130.0,1970.0,100.0,550.0,880.0,51.0,23.6,47.0
250,Grand View College,IA,2,535.0,511.0,233.0,11.0,36.0,1098.0,380.0,9820.0,9820.0,2000.0,1360.0,50.0,570.0,2800.0,32.0,12.6,32.0
251,Grinnell College,IA,2,2039.0,1389.0,432.0,56.0,91.0,1333.0,30.0,15688.0,15688.0,2120.0,2498.0,374.0,400.0,400.0,88.0,9.5,83.0
257,Morningside College,IA,2,586.0,533.0,239.0,16.0,36.0,950.0,228.0,10520.0,10520.0,1812.0,1866.0,181.0,500.0,1000.0,48.0,13.0,56.0
258,Mount Mercy College,IA,2,368.0,317.0,159.0,20.0,49.0,806.0,542.0,10500.0,10500.0,2115.0,1440.0,100.0,500.0,2285.0,44.0,11.3,64.0
259,Mount Saint Clare College,IA,2,325.0,284.0,95.0,16.0,33.0,364.0,88.0,9900.0,9900.0,1660.0,1990.0,80.0,500.0,1200.0,32.0,13.6,21.0
261,Simpson College,IA,2,1016.0,872.0,300.0,27.0,57.0,1116.0,602.0,11250.0,11250.0,2130.0,2850.0,155.0,550.0,1400.0,66.0,15.8,70.0
262,Saint Ambrose University,IA,2,897.0,718.0,276.0,12.0,48.0,1345.0,390.0,10450.0,10450.0,2310.0,1710.0,10.0,500.0,1500.0,56.0,14.1,70.0
263,University of Northern Iowa,IA,1,4144.0,3379.0,1853.0,18.0,52.0,10135.0,1448.0,2291.0,6197.0,1318.0,1612.0,164.0,595.0,2380.0,78.0,16.3,77.0
264,University of Dubuque,IA,2,576.0,558.0,137.0,11.0,39.0,662.0,131.0,10430.0,10430.0,1845.0,1775.0,100.0,400.0,1500.0,85.0,16.5,45.0
267,Wartburg College,IA,2,1231.0,1074.0,345.0,34.0,66.0,1295.0,105.0,11600.0,11600.0,1940.0,1670.0,120.0,400.0,850.0,66.0,12.4,67.0
268,Teikyo Westmar University,IA,2,451.0,306.0,123.0,10.0,18.0,611.0,146.0,9980.0,9980.0,2010.0,1630.0,280.0,600.0,2240.0,46.0,12.0,51.0
269,William Penn College,IA,2,326.0,294.0,140.0,10.0,33.0,630.0,107.0,10000.0,10000.0,1800.0,1310.0,290.0,495.0,800.0,35.0,13.3,40.0
271,Albertson College,ID,2,587.0,479.0,158.0,38.0,62.0,678.0,41.0,13500.0,13500.0,1025.0,2210.0,322.0,500.0,675.0,67.0,9.4,55.0
274,Northwest Nazarene College,ID,2,616.0,514.0,385.0,29.0,52.0,1115.0,60.0,9840.0,9840.0,1680.0,1140.0,339.0,450.0,822.0,59.0,14.8,58.0
276,Augustana College,IL,2,1879.0,1658.0,497.0,36.0,69.0,1950.0,38.0,13353.0,13353.0,1622.0,1622.0,93.0,540.0,821.0,78.0,12.7,71.0
286,Eureka College,IL,2,560.0,454.0,113.0,36.0,56.0,484.0,16.0,10955.0,10955.0,1915.0,1535.0,150.0,330.0,670.0,62.0,10.6,53.0
293,Illinois Wesleyan University,IL,2,3050.0,1342.0,471.0,55.0,86.0,1818.0,23.0,14360.0,14360.0,1760.0,2330.0,125.0,400.0,650.0,77.0,12.9,83.0
296,Knox College,IL,2,1040.0,845.0,286.0,48.0,77.0,967.0,24.0,15747.0,15747.0,1806.0,2256.0,186.0,400.0,800.0,88.0,12.7,79.0
297,Lake Forest College,IL,2,979.0,638.0,271.0,31.0,70.0,968.0,20.0,16880.0,16880.0,1740.0,2230.0,230.0,920.0,1320.0,91.0,10.7,77.0
301,McKendree College,IL,2,1002.0,555.0,119.0,16.0,43.0,836.0,684.0,7680.0,7680.0,1820.0,1920.0,135.0,500.0,800.0,70.0,17.7,52.0
303,Monmouth College,IL,2,601.0,503.0,204.0,28.0,57.0,671.0,11.0,13000.0,13000.0,2100.0,2000.0,200.0,400.0,460.0,91.0,11.6,56.0
311,Quincy University,IL,2,1025.0,707.0,297.0,22.0,66.0,1070.0,72.0,10100.0,10100.0,1750.0,2390.0,210.0,450.0,1080.0,69.0,16.3,80.0
316,Southern Illinois University at Edwardsville,IL,1,2540.0,2195.0,994.0,13.0,40.0,6063.0,2550.0,1824.0,5472.0,1570.0,2028.0,488.0,221.0,2216.0,76.0,16.5,43.0
318,Saint Xavier University,IL,2,785.0,647.0,295.0,15.0,65.0,1670.0,726.0,10860.0,10860.0,2666.0,1958.0,110.0,600.0,794.0,87.0,13.7,55.0
319,Trinity College,IL,2,746.0,473.0,317.0,39.0,82.0,834.0,50.0,9600.0,9600.0,2030.0,2080.0,75.0,600.0,1300.0,54.0,21.9,28.0
320,University of Chicago,IL,2,6348.0,2999.0,922.0,68.0,94.0,3340.0,39.0,18930.0,18930.0,3070.0,3310.0,486.0,500.0,1254.0,99.0,5.3,90.0
321,University of Illinois - Urbana,IL,1,14939.0,11652.0,5705.0,52.0,88.0,25422.0,911.0,2760.0,7560.0,1780.0,2794.0,920.0,500.0,1982.0,87.0,17.4,81.0
322,University of Illinois at Chicago,IL,1,8384.0,5727.0,2710.0,22.0,50.0,13518.0,2916.0,2520.0,7230.0,3198.0,1890.0,1108.0,630.0,3228.0,82.0,10.0,34.0
323,Western Illinois University,IL,1,6491.0,5027.0,1563.0,6.0,24.0,9015.0,1449.0,1902.0,5706.0,1843.0,1350.0,705.0,600.0,1993.0,77.0,17.2,55.0
325,Anderson University,IN,2,1216.0,908.0,423.0,19.0,40.0,1819.0,281.0,10100.0,10100.0,1620.0,1900.0,200.0,550.0,1100.0,48.0,12.1,59.0
328,Butler University,IN,2,2362.0,2037.0,700.0,40.0,68.0,2607.0,148.0,13130.0,13130.0,2480.0,2170.0,65.0,500.0,1600.0,77.0,10.9,83.0
329,DePauw University,IN,2,1994.0,1656.0,495.0,50.0,80.0,1983.0,36.0,14300.0,14300.0,2510.0,2510.0,200.0,550.0,950.0,78.0,11.1,82.0
330,Earlham College,IN,2,1358.0,1006.0,274.0,35.0,63.0,1028.0,13.0,15036.0,15036.0,1899.0,2157.0,273.0,600.0,600.0,90.0,10.6,78.0
331,University of Evansville,IN,2,2096.0,1626.0,694.0,35.0,67.0,2551.0,407.0,11800.0,11800.0,2520.0,1820.0,200.0,700.0,960.0,60.0,15.8,77.0
332,Franklin College,IN,2,804.0,632.0,281.0,29.0,72.0,840.0,68.0,10390.0,10390.0,1790.0,2250.0,110.0,525.0,1345.0,54.0,12.5,60.0
335,Hanover College,IN,2,1006.0,837.0,317.0,33.0,65.0,1024.0,15.0,8200.0,8200.0,1540.0,1945.0,350.0,500.0,1200.0,84.0,10.6,64.0
339,University of Southern Indiana,IN,1,2379.0,2133.0,1292.0,8.0,25.0,4283.0,2973.0,2040.0,4973.0,1660.0,1532.0,20.0,500.0,1425.0,56.0,22.0,38.0
348,Manchester College,IN,2,1004.0,802.0,239.0,23.0,63.0,909.0,51.0,10440.0,10440.0,1960.0,1890.0,350.0,525.0,1450.0,63.0,11.8,64.0
351,Oakland City College,IN,2,495.0,465.0,275.0,18.0,35.0,695.0,193.0,7620.0,7260.0,998.0,1986.0,186.0,740.0,900.0,41.0,11.5,62.0
358,Saint Mary-of-the-Woods College,IN,2,150.0,130.0,88.0,23.0,50.0,341.0,768.0,10300.0,10300.0,1590.0,2540.0,400.0,500.0,1700.0,44.0,10.2,75.0
359,Saint Mary's College,IN,2,888.0,734.0,393.0,26.0,60.0,1433.0,27.0,12730.0,12730.0,2652.0,1862.0,901.0,500.0,1525.0,74.0,9.9,98.0
361,Taylor University,IN,2,1769.0,1092.0,437.0,41.0,80.0,1757.0,81.0,10965.0,10965.0,1900.0,2100.0,210.0,450.0,1250.0,60.0,14.2,98.0
364,Valparaiso University,IN,2,2075.0,1727.0,520.0,49.0,81.0,2501.0,198.0,11800.0,11800.0,1300.0,1960.0,450.0,500.0,800.0,87.0,14.2,95.0
365,Wabash College,IN,2,800.0,623.0,256.0,41.0,76.0,801.0,5.0,12925.0,12925.0,1480.0,2715.0,250.0,500.0,635.0,78.0,9.9,72.0
367,Baker University,KS,2,602.0,483.0,206.0,21.0,47.0,958.0,466.0,8620.0,8620.0,1900.0,2200.0,310.0,400.0,2250.0,58.0,11.0,65.0
